Year,Elevation,Quantity (Kg),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,2022-2
2016-09,Medium,2974192.0,,,,,,,,,,,,,,,
2016-09,Low,13005769.0,,,,,,,,,,,,,,,
2016-09,Total,19951957.0,,,,,,,,,,,,,,,
2016-10,High,3390811.0,,,,,,,,,,,,,,,
2016-10,Medium,2336707.0,,,,,,,,,,,,,,,
2016-10,Low,12977917.0,,,,,,,,,,,,,,,
2016-10,Total,18705435.0,,,,,,,,,,,,,,,
2016-11,High,5921708.0,,,,,,,,,,,,,,,
2016-11,Medium,3885703.0,,,,,,,,,,,,,,,
2016-11,Low,17904691.0,,,,,,,,,,,,,,,
2016-11,Total,27712102.0,,,,,,,,,,,,,,,
2016-12,High,6142174.0,,,,,,,,,,,,,,,
2016-12,Medium,4447784.0,,,,,,,,,,,,,,,
2016-12,Low,16589737.0,,,,,,,,,,,,,,,
2016-12,Total,27179696.0,,,,,,,,,,,,,,,
2017-01,High,4627708.0,,,,,,,,,,,,,,,
2017-01,Medium,2795115.0,,,,,,,,,,,,,,,
2017-01,Low,14263667.0,,,,,,,,,,,,,,,
2017-01,Total,21686490.0,,,,,,,,,,,,,,,
2017-02,High,3993644.0,,,,,,,,,,,,,,,
2017-02,Medium,2714105.0,,,,,,,,,,,,,,,
2017-02,Low,11905178.0,,,,,,,,,,,,,,,
2017-02,Total,18612926.0,,,,,,,,,,,,,,,
2017-03,High,6046666.0,,,,,,,,,,,,,,,
2017-03,Medium,4497762.0,,,,,,,,,,,,,,,
2017-03,Low,16032936.0,,,,,,,,,,,,,,,
2017-03,Total,26577364.0,,,,,,,,,,,,,,,
2017-04,High,8385882.0,,,,,,,,,,,,,,,
2017-04,Medium,5299646.0,,,,,,,,,,,,,,,
2017-04,Low,19259103.0,,,,,,,,,,,,,,,
2017-04,Total,32944630.0,,,,,,,,,,,,,,,
2017-05,High,7660280.0,,,,,,,,,,,,,,,
2017-05,Medium,4958316.0,,,,,,,,,,,,,,,
2017-05,Low,17098402.0,,,,,,,,,,,,,,,
2017-05,Total,29716999.0,,,,,,,,,,,,,,,
2017-06,High,5144371.0,,,,,,,,,,,,,,,
2017-06,Medium,3941501.0,,,,,,,,,,,,,,,
2017-06,Low,18154054.0,,,,,,,,,,,,,,,
2017-06,Total,27239925.0,,,,,,,,,,,,,,,
2017-07,High,4889831.0,,,,,,,,,,,,,,,
2017-07,Medium,3735752.0,,,,,,,,,,,,,,,
2017-07,Low,17084912.0,,,,,,,,,,,,,,,
2017-07,Total,25710495.0,,,,,,,,,,,,,,,
2017-08,High,4177946.0,,,,,,,,,,,,,,,
2017-08,Medium,3401523.0,,,,,,,,,,,,,,,
2017-08,Low,17281482.0,,,,,,,,,,,,,,,
2017-08,Total,24860951.0,,,,,,,,,,,,,,,
2017-09,High,4822555.0,,,,,,,,,,,,,,,
2017-09,Medium,3601988.0,,,,,,,,,,,,,,,
2017-09,Low,17311333.0,,,,,,,,,,,,,,,
2017-09,Total,25735876.0,,,,,,,,,,,,,,,
2017-10,High,4973080.0,,,,,,,,,,,,,,,
2017-10,Medium,3683394.0,,,,,,,,,,,,,,,
2017-10,Low,17062971.0,,,,,,,,,,,,,,,
2017-10,Total,25719444.0,,,,,,,,,,,,,,,
2017-11,High,5193621.0,,,,,,,,,,,,,,,
2017-11,Medium,3568752.0,,,,,,,,,,,,,,,
2017-11,Low,16219347.0,,,,,,,,,,,,,,,
2017-11,Total,24981719.0,,,,,,,,,,,,,,,
2017-12,High,4728015.0,,,,,,,,,,,,,,,
2017-12,Medium,3456739.0,,,,,,,,,,,,,,,
2017-12,Low,15748232.0,,,,,,,,,,,,,,,
2017-12,Total,23932986.0,,,,,,,,,,,,,,,
2018-01,High,5177373.0,,,,,,,,,,,,,,,
2018-01,Medium,3278129.0,,,,,,,,,,,,,,,
2018-01,Low,16087615.0,,,,,,,,,,,,,,,
2018-01,Total,24543117.0,,,,,,,,,,,,,,,
2018-02,High,5032947.0,,,,,,,,,,,,,,,
2018-02,Medium,3192765.0,,,,,,,,,,,,,,,
2018-02,Low,12957173.0,,,,,,,,,,,,,,,
2018-02,Total,21182885.0,,,,,,,,,,,,,,,
2018-03,High,6257310.0,,,,,,,,,,,,,,,
2018-03,Medium,4089117.0,,,,,,,,,,,,,,,
2018-03,Low,18261664.0,,,,,,,,,,,,,,,
2018-03,Total,28608091.0,,,,,,,,,,,,,,,
2018-04,High,7461180.0,,,,,,,,,,,,,,,
2018-04,Medium,4872604.0,,,,,,,,,,,,,,,
2018-04,Low,15684552.0,,,,,,,,,,,,,,,
2018-04,Total,28018336.0,,,,,,,,,,,,,,,
2018-05,High,7404751.0,,,,,,,,,,,,,,,
2018-05,Medium,5359935.0,,,,,,,,,,,,,,,
2018-05,Low,19770446.0,,,,,,,,,,,,,,,
2018-05,Total,32535132.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018-06,High,4782273.0,,,,,,,,,,,,,,,
2018-06,Medium,3629481.0,,,,,,,,,,,,,,,
2018-06,Low,14854870.0,,,,,,,,,,,,,,,
2018-06,Total,23266625.0,,,,,,,,,,,,,,,
2018-07,High,3816781.0,,,,,,,,,,,,,,,
2018-07,Medium,3587480.0,,,,,,,,,,,,,,,
2018-07,Low,16520444.0,,,,,,,,,,,,,,,
2018-07,Total,23924705.0,,,,,,,,,,,,,,,
2018-08,High,3690803.0,,,,,,,,,,,,,,,
2018-08,Medium,3015980.0,,,,,,,,,,,,,,,
2018-08,Low,14857009.0,,,,,,,,,,,,,,,
2018-08,Total,21563792.0,,,,,,,,,,,,,,,
2018-09,High,4063313.0,,,,,,,,,,,,,,,
2018-09,Medium,3248922.0,,,,,,,,,,,,,,,
2018-09,Low,12075127.0,,,,,,,,,,,,,,,
2018-09,Total,19387362.0,,,,,,,,,,,,,,,
2018-10,High,7160247.0,,,,,,,,,,,,,,,
2018-10,Medium,5078431.0,,,,,,,,,,,,,,,
2018-10,Low,17475453.0,,,,,,,,,,,,,,,
2018-10,Total,29714131.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018-11,High,4924348.0,,,,,,,,,,,,,,,
2018-11,Medium,3836784.0,,,,,,,,,,,,,,,
2018-11,Low,16131773.0,,,,,,,,,,,,,,,
2018-11,Total,24892904.0,,,,,,,,,,,,,,,
2018-12,High,5198619.0,,,,,,,,,,,,,,,
2018-12,Medium,3941351.0,,,,,,,,,,,,,,,
